SRR873382	SRR873383	SRR873384	SRR873385	SRR873386	SRR873387	SRR873388	SRR873389
hsa-miR-296-5p	440	551	392	312	300	409	281	351
hsa-miR-297	0	0	0	0	0	0	0	0
hsa-miR-298	0	0	0	0	0	0	0	0
hsa-miR-299-3p	0	3	1	0	0	3	1	0
hsa-miR-299-5p	0	0	0	0	0	0	0	0
hsa-miR-29a-3p	15285	15583	15557	8909	10847	12905	11127	11248
hsa-miR-29a-5p	467	470	300	253	220	296	263	241
hsa-miR-29b-1-5p	566	783	184	233	304	256	312	318
hsa-miR-29b-2-5p	250	227	158	198	214	297	282	277
hsa-miR-29b-3p	15315	15339	14560	7187	6430	6405	6736	5648
hsa-miR-29c-3p	1626	1844	2640	979	1089	1231	1024	972
hsa-miR-29c-5p	428	399	336	279	281	324	354	288
hsa-miR-300	0	0	0	0	0	0	0	0
hsa-miR-301a-3p	7445	2689	3234	1689	1874	2095	2303	2238
hsa-miR-301a-5p	27	25	16	17	11	11	20	6
hsa-miR-301b	497	177	205	119	142	156	171	176
hsa-miR-302a-3p	0	0	0	0	0	0	0	0
hsa-miR-302a-5p	1	2	0	0	1	0	1	1
hsa-miR-302b-3p	0	1	0	1	0	0	0	1
hsa-miR-302b-5p	0	0	0	0	0	0	0	0
hsa-miR-302c-3p	0	0	0	0	0	0	0	0
hsa-miR-302c-5p	0	0	0	0	0	0	0	0
hsa-miR-302d-3p	0	0	0	0	0	0	0	0
hsa-miR-302d-5p	0	0	0	0	0	0	0	0
hsa-miR-302e	0	0	0	0	0	0	0	0
hsa-miR-302f	0	0	0	0	0	0	0	0
hsa-miR-3064-3p	2	3	3	0	0	0	1	0
hsa-miR-3064-5p	82	87	47	48	54	82	51	64
hsa-miR-3065-3p	333	334	235	386	521	602	609	684
hsa-miR-3065-5p	411	419	479	373	317	407	342	392
hsa-miR-3074-3p	395	570	129	153	129	176	138	119
hsa-miR-3074-5p	244	250	250	192	205	308	266	303
hsa-miR-30a-3p	556	518	307	524	584	721	377	407
hsa-miR-30a-5p	7250	6686	4997	8537	11515	11249	7227	7476
hsa-miR-30b-3p	72	82	104	79	97	137	73	86
hsa-miR-30b-5p	7306	6864	6720	3251	3133	2422	2909	3339
hsa-miR-30c-1-3p	53	64	50	36	53	66	34	32
hsa-miR-30c-2-3p	79	72	45	29	33	62	20	27
hsa-miR-30c-5p	17510	20018	8645	8909	17411	10764	19084	19548
hsa-miR-30d-3p	406	298	361	383	470	673	451	469
hsa-miR-30d-5p	223128	204404	145871	243198	421779	379321	497239	536432
hsa-miR-30e-3p	7015	5964	4300	7719	10361	10067	10872	11378
hsa-miR-30e-5p	82789	81711	63888	80116	102632	104296	114589	122555
hsa-miR-31-3p	2	2	4	2	1	1	0	0
hsa-miR-31-5p	300	393	816	177	172	144	46	64
hsa-miR-3115	40	41	35	24	21	23	36	40
hsa-miR-3116	5	4	4	0	6	7	6	6
hsa-miR-3117-3p	0	0	0	0	0	0	0	0
hsa-miR-3117-5p	0	0	0	0	0	0	0	0
hsa-miR-3118	1	0	0	1	3	1	3	1
hsa-miR-3119	0	0	0	0	0	0	0	0
hsa-miR-3120-3p	0	0	0	0	0	0	0	0
hsa-miR-3120-5p	0	0	0	0	0	0	0	0
hsa-miR-3121-3p	5	15	21	8	7	5	8	5
hsa-miR-3121-5p	1	1	0	0	0	0	0	2
hsa-miR-3122	2	2	2	2	0	7	3	2
hsa-miR-3123	0	0	0	0	0	0	0	0
hsa-miR-3124-3p	0	0	0	0	0	1	0	0
hsa-miR-3124-5p	2	0	2	0	2	2	0	1
hsa-miR-3125	1	2	0	1	1	1	1	1
hsa-miR-3126-3p	2	2	1	1	1	0	1	1
hsa-miR-3126-5p	10	13	8	1	7	10	8	11
hsa-miR-3127-3p	52	28	27	31	41	66	55	71
hsa-miR-3127-5p	228	369	89	242	195	308	245	253
hsa-miR-3128	10	10	9	15	11	20	11	25
hsa-miR-3129-3p	4	3	10	1	8	5	7	9
hsa-miR-3129-5p	1	5	1	1	1	0	0	2
hsa-miR-3130-3p	3	1	7	6	7	12	1	8
hsa-miR-3130-5p	0	1	2	1	1	1	0	0
hsa-miR-3131	19	6	6	9	5	20	15	11
hsa-miR-3132	0	0	0	0	3	0	2	1
hsa-miR-3133	0	2	0	0	0	1	0	0
hsa-miR-3134	3	9	4	1	1	1	0	3
hsa-miR-3135a	3	2	1	1	3	1	0	1
hsa-miR-3135b	0	0	0	0	0	0	0	0
hsa-miR-3136-3p	0	0	2	0	1	0	0	0
hsa-miR-3136-5p	13	5	12	13	9	18	9	4
hsa-miR-3137	2	1	1	0	1	4	2	1
hsa-miR-3138	20	24	13	11	13	18	8	11
hsa-miR-3139	13	16	12	13	13	19	12	7
hsa-miR-3140-3p	18	35	22	23	50	41	49	42
hsa-miR-3140-5p	0	0	0	0	0	0	0	0
hsa-miR-3141	2	1	1	0	0	0	0	0
hsa-miR-3142	0	0	0	0	0	0	0	0
hsa-miR-3143	4	1	0	2	2	0	0	3
hsa-miR-3144-3p	3	3	3	5	2	7	6	5
hsa-miR-3144-5p	12	6	11	13	6	3	2	7
hsa-miR-3145-3p	14	21	12	11	13	8	5	10
hsa-miR-3145-5p	1	0	2	0	0	1	1	0
hsa-miR-3146	15	11	4	8	7	12	14	16
hsa-miR-3147	0	0	0	0	0	0	0	0
hsa-miR-3148	8	1	4	0	2	1	2	2
hsa-miR-3149	6	3	5	6	14	7	6	8
hsa-miR-3150a-3p	9	14	8	10	10	16	7	12
hsa-miR-3150a-5p	11	5	16	8	5	14	10	23
hsa-miR-3150b-3p	19	25	14	31	25	66	22	28
hsa-miR-3150b-5p	2	0	3	1	0	2	3	1
hsa-miR-3151-3p	0	0	0	0	0	0	0	0
hsa-miR-3151-5p	0	1	1	0	0	0	0	0
hsa-miR-3152-3p	0	0	0	0	0	0	0	0
hsa-miR-3152-5p	0	0	0	0	0	0	0	0
hsa-miR-3153	0	1	0	0	1	0	0	0
hsa-miR-3154	0	0	0	0	0	0	0	0
hsa-miR-3155a	4	3	3	7	5	7	0	1
hsa-miR-3155b	2	2	3	2	5	9	8	5
hsa-miR-3156-3p	0	0	0	0	1	2	0	0
hsa-miR-3156-5p	3	8	7	2	2	9	2	13
hsa-miR-3157-3p	3	2	2	3	1	3	2	2
hsa-miR-3157-5p	4	1	4	3	3	5	2	4
hsa-miR-3158-3p	137	143	232	216	262	459	259	269
hsa-miR-3158-5p	1	3	5	1	4	3	3	1
hsa-miR-3159	1	3	1	3	3	1	2	5
hsa-miR-3160-3p	0	0	0	0	0	0	0	0
hsa-miR-3160-5p	0	0	0	0	0	0	0	0
hsa-miR-3161	58	62	34	40	41	65	50	42
hsa-miR-3162-3p	0	0	0	0	0	0	0	0
hsa-miR-3162-5p	4	1	6	6	2	3	0	3
hsa-miR-3163	5	0	3	4	0	4	1	2
hsa-miR-3164	22	20	16	26	25	45	32	50
hsa-miR-3165	0	0	1	0	2	1	0	0
hsa-miR-3166	0	0	0	0	0	0	0	0
hsa-miR-3167	0	0	0	0	0	0	0	0
hsa-miR-3168	3	8	4	26	24	5	26	12
hsa-miR-3169	0	0	0	0	0	0	0	0
hsa-miR-3170	14	6	5	10	9	10	8	17
hsa-miR-3171	5	2	5	2	8	10	3	5
hsa-miR-3173-3p	7	5	14	2	2	4	1	2
hsa-miR-3173-5p	10	8	4	5	12	9	6	8
hsa-miR-3174	21	28	42	13	16	8	16	15
hsa-miR-3175	60	52	26	52	24	61	73	55
hsa-miR-3176	766	817	497	815	838	1350	920	925
hsa-miR-3177-3p	332	333	266	299	217	352	241	261
hsa-miR-3177-5p	7	6	3	1	3	2	1	0
hsa-miR-3178	0	1	0	0	0	0	0	0
hsa-miR-3179	1	1	0	2	1	2	2	3
hsa-miR-3180	30	22	13	13	12	18	8	12
hsa-miR-3180-3p	49	30	20	27	9	22	24	5
hsa-miR-3180-5p	14	11	6	5	9	17	13	6
hsa-miR-3181	1	3	2	2	7	10	7	3
hsa-miR-3182	0	0	1	0	0	0	0	0
hsa-miR-3183	7	6	9	5	4	12	6	4
hsa-miR-3184-3p	0	0	0	0	0	0	0	0
hsa-miR-3184-5p	195	249	218	150	150	246	186	171
hsa-miR-3185	0	0	0	0	0	0	0	0
hsa-miR-3186-3p	0	0	1	0	0	1	0	0
hsa-miR-3186-5p	0	2	1	0	1	3	3	1
hsa-miR-3187-3p	182	191	142	142	99	174	104	107
hsa-miR-3187-5p	47	53	15	42	29	37	17	24
hsa-miR-3188	17	23	22	22	23	42	19	26
hsa-miR-3189-3p	5	8	4	4	9	5	13	12
hsa-miR-3189-5p	6	3	5	4	3	5	2	3
hsa-miR-3190-3p	9	13	4	8	12	13	15	8
hsa-miR-3190-5p	0	0	0	0	0	0	0	0
hsa-miR-3191-3p	11	4	5	10	5	15	12	14
hsa-miR-3191-5p	13	11	15	10	11	8	11	10
hsa-miR-3192-3p	0	2	1	0	0	1	0	0
hsa-miR-3192-5p	30	31	23	28	27	26	27	25
hsa-miR-3193	12	10	5	14	9	20	14	16
hsa-miR-3194-3p	3	3	5	4	1	4	1	3
hsa-miR-3194-5p	24	44	70	37	21	42	11	18
hsa-miR-3195	0	0	0	0	0	0	0	0
hsa-miR-3196	0	0	0	1	0	0	0	0
hsa-miR-3197	3	4	2	4	1	5	3	2
hsa-miR-3198	16	22	5	19	4	31	11	9
hsa-miR-3199	40	25	22	21	40	41	34	38
hsa-miR-32-3p	196	159	154	76	69	66	47	38
hsa-miR-32-5p	2869	1820	2961	1704	1829	2113	1641	1217
hsa-miR-3200-3p	119	161	111	49	76	64	60	75
hsa-miR-3200-5p	30	34	34	13	5	19	7	14
hsa-miR-3201	1	0	0	0	0	0	0	0
hsa-miR-3202	5	2	10	4	4	2	1	0
hsa-miR-320a	18238	16342	29047	12109	10077	17274	6447	7970
hsa-miR-320b	529	399	941	373	354	541	252	289
hsa-miR-320c	241	186	386	206	195	305	137	166
hsa-miR-320d	144	120	195	126	107	187	106	132
hsa-miR-320e	1	3	4	6	0	2	2	2
hsa-miR-323a-3p	4	4	3	3	4	0	0	2
hsa-miR-323a-5p	0	0	0	0	0	0	0	0
hsa-miR-323b-3p	2	1	0	0	0	0	0	0
hsa-miR-323b-5p	0	0	0	0	0	0	0	0
hsa-miR-324-3p	861	1050	743	621	706	994	573	673
hsa-miR-324-5p	784	886	960	447	539	791	632	727
hsa-miR-325	0	0	0	0	0	0	0	0
hsa-miR-326	45	64	25	14	20	26	28	21
hsa-miR-328-3p	52	93	59	70	80	103	64	93
hsa-miR-328-5p	2	7	0	4	3	3	0	2
hsa-miR-329-3p	1	1	1	0	1	0	0	0
hsa-miR-329-5p	0	1	0	0	0	0	0	0
hsa-miR-330-3p	782	597	1110	395	296	370	270	371
hsa-miR-330-5p	84	99	62	110	107	138	133	145
hsa-miR-331-3p	587	614	488	309	432	442	390	434
hsa-miR-331-5p	461	482	304	341	406	471	360	366
hsa-miR-335-3p	5242	4042	2905	2459	2477	2012	2592	2675
hsa-miR-335-5p	4302	2860	2602	2030	1814	1256	1691	1618
hsa-miR-337-3p	0	0	0	0	0	1	0	0
hsa-miR-337-5p	0	0	0	0	0	0	0	0
hsa-miR-338-3p	0	0	0	0	0	0	0	0
hsa-miR-338-5p	101	86	71	87	151	166	176	196
hsa-miR-339-3p	20232	21587	15227	17326	21282	31168	22032	23276
hsa-miR-339-5p	2007	2533	2954	1206	1030	1300	951	1061
hsa-miR-33a-3p	32	12	6	6	4	3	4	1
hsa-miR-33a-5p	2313	1401	2331	1204	1260	1834	1006	732
hsa-miR-33b-3p	114	124	93	78	46	78	104	96
hsa-miR-33b-5p	1434	1174	1052	1391	2304	3709	2153	1565
hsa-miR-340-3p	781	626	771	548	530	393	633	571
hsa-miR-340-5p	6711	3826	7818	3627	2862	2525	2445	2538
hsa-miR-342-3p	35627	38681	18661	34742	39335	25762	42500	42718
hsa-miR-342-5p	6715	9743	4889	5692	5568	8224	6021	6798
hsa-miR-345-3p	31	72	52	65	56	103	39	33
hsa-miR-345-5p	7121	10118	11750	5059	4529	7286	3936	4103
hsa-miR-346	0	2	0	0	0	1	0	0
hsa-miR-34a-3p	33	48	46	46	20	27	17	29
hsa-miR-34a-5p	2981	3275	3453	1850	1960	2753	2287	2435
hsa-miR-34b-3p	1	0	2	1	0	0	0	0
hsa-miR-34b-5p	3	5	6	2	1	3	2	2
hsa-miR-34c-3p	0	1	2	2	0	0	2	0
hsa-miR-34c-5p	260	269	226	262	204	273	167	205
hsa-miR-3529-3p	6360	3291	9185	3769	1950	1555	1177	1248
hsa-miR-3529-5p	4	1	2	1	2	2	2	2
hsa-miR-3591-3p	0	0	0	0	0	0	0	0
hsa-miR-3591-5p	0	0	0	0	0	0	0	0
hsa-miR-3605-3p	12	3	6	7	6	3	12	11
hsa-miR-3605-5p	37	54	35	29	29	28	27	42
hsa-miR-3606-3p	0	0	0	0	0	0	0	0
hsa-miR-3606-5p	0	0	0	0	0	0	0	0
hsa-miR-3607-3p	13	2	6	7	7	16	13	12
hsa-miR-3607-5p	1	1	0	0	0	0	0	0
hsa-miR-3609	3	7	12	2	3	6	5	1
hsa-miR-361-3p	533	516	289	593	734	802	694	746
hsa-miR-361-5p	7289	7914	6021	4105	4972	4501	5110	5329
hsa-miR-3610	2	2	3	1	16	10	5	11
hsa-miR-3611	18	20	16	8	6	3	4	7
hsa-miR-3612	0	0	0	0	0	0	0	0
hsa-miR-3613-3p	23	31	17	6	11	6	3	7
hsa-miR-3613-5p	15	15	7	0	6	5	5	6
hsa-miR-3614-3p	2	1	3	4	6	10	2	5
hsa-miR-3614-5p	66	55	54	81	86	151	23	26
hsa-miR-3615	252	184	180	216	274	443	262	237
hsa-miR-3616-3p	9	10	11	5	3	15	5	1
hsa-miR-3616-5p	2	3	5	2	3	3	2	0
hsa-miR-3617-3p	1	0	0	0	0	0	0	0
hsa-miR-3617-5p	1	0	6	2	0	1	1	0
hsa-miR-3618	0	0	1	0	0	0	1	1
hsa-miR-3619-3p	29	30	10	45	66	79	77	101
hsa-miR-3619-5p	13	10	9	5	5	8	11	9
hsa-miR-362-3p	29	13	19	7	13	7	9	11
hsa-miR-362-5p	152	156	122	74	77	119	67	112
hsa-miR-3620-3p	3	4	7	4	5	2	6	3
hsa-miR-3620-5p	12	14	1	17	7	17	5	3
hsa-miR-3621	0	0	1	1	0	0	0	0
hsa-miR-3622a-3p	1	0	0	0	0	0	0	0
hsa-miR-3622a-5p	1	0	0	1	0	0	0	0
hsa-miR-3622b-3p	0	0	0	0	0	0	0	0
hsa-miR-3622b-5p	0	0	0	0	0	0	0	0
hsa-miR-363-3p	286	264	311	190	173	231	157	176
hsa-miR-363-5p	0	1	1	0	1	0	0	0
hsa-miR-3646	1	2	2	1	0	0	1	4
hsa-miR-3648	4	1	1	0	1	5	1	1
hsa-miR-3649	0	0	0	0	0	0	1	0
hsa-miR-3650	0	0	0	0	0	0	0	1
hsa-miR-3651	2	0	0	1	0	1	0	0
hsa-miR-3652	2	2	5	2	4	5	5	2
hsa-miR-3653	34	23	19	22	35	36	34	24
hsa-miR-3654	0	0	1	1	0	1	1	1
hsa-miR-3655	1	1	2	2	4	4	4	6
hsa-miR-3656	0	0	0	0	0	1	0	0
hsa-miR-3657	6	3	2	3	2	1	0	0
hsa-miR-3658	0	0	0	0	0	0	0	0
hsa-miR-3659	9	9	13	11	5	14	7	11
hsa-miR-365a-3p	1237	522	852	483	440	311	474	660
hsa-miR-365a-5p	1433	3047	1339	2436	1840	2854	1529	1739
hsa-miR-365b-3p	1201	505	815	432	465	299	440	607
hsa-miR-365b-5p	1094	1386	383	680	454	783	452	486
hsa-miR-3660	32	14	26	19	20	33	18	21
hsa-miR-3661	11	14	5	13	7	13	15	10
hsa-miR-3662	172	157	70	173	70	90	61	65
hsa-miR-3663-3p	7	19	10	21	29	46	18	23
hsa-miR-3663-5p	0	1	2	6	1	5	1	3
hsa-miR-3664-3p	31	39	44	13	20	33	27	17
hsa-miR-3664-5p	8	4	6	6	6	8	3	2
hsa-miR-3665	0	0	0	0	0	0	0	0
hsa-miR-3666	0	0	0	0	0	0	0	0
hsa-miR-3667-3p	0	0	0	0	0	0	0	0
hsa-miR-3667-5p	0	0	0	0	0	0	0	0
hsa-miR-3668	0	0	0	0	0	0	0	0
hsa-miR-3669	0	0	0	0	0	0	0	0
hsa-miR-367-3p	0	0	0	0	0	0	0	0
hsa-miR-367-5p	0	0	0	0	0	0	0	0
hsa-miR-3670	0	0	0	0	0	0	0	0
hsa-miR-3671	0	0	0	0	0	0	0	0
hsa-miR-3672	0	0	0	0	1	0	0	0
hsa-miR-3673	0	0	0	0	0	0	0	0
hsa-miR-3674	0	0	0	0	0	0	0	0
hsa-miR-3675-3p	0	0	0	0	0	0	0	0
hsa-miR-3675-5p	0	0	0	0	0	0	0	0
hsa-miR-3677-3p	30	48	43	60	60	112	78	78
hsa-miR-3677-5p	2	2	7	0	0	1	1	0
hsa-miR-3678-3p	4	1	1	0	1	3	3	3
hsa-miR-3678-5p	4	3	1	4	6	3	3	8
hsa-miR-3679-3p	0	0	0	0	0	0	0	0
hsa-miR-3679-5p	107	107	55	85	91	131	102	131
hsa-miR-3680-3p	1	7	3	4	2	10	5	7
hsa-miR-3680-5p	7	3	3	4	8	11	5	3
hsa-miR-3681-3p	0	0	0	0	0	0	0	0
hsa-miR-3681-5p	0	0	0	0	0	0	1	0
hsa-miR-3682-3p	17	16	2	5	14	18	16	12
hsa-miR-3682-5p	0	0	0	0	0	0	0	0
hsa-miR-3683	0	0	0	0	0	0	0	0
hsa-miR-3684	12	12	4	7	9	16	19	9
hsa-miR-3685	0	0	0	1	0	2	0	0
hsa-miR-3686	0	0	0	0	0	0	0	0
hsa-miR-3687	4	11	5	3	2	3	2	2
hsa-miR-3688-3p	4	4	4	8	9	13	8	16
hsa-miR-3688-5p	0	0	0	0	0	1	0	0
hsa-miR-3689a-3p	0	0	0	0	0	0	0	0
hsa-miR-3689a-5p	0	0	0	1	2	2	0	0
hsa-miR-3689b-3p	0	0	0	0	0	0	0	0
hsa-miR-3689b-5p	0	0	0	0	0	2	0	0
hsa-miR-3689c	0	0	0	0	0	0	0	0
hsa-miR-3689d	0	0	0	0	0	0	0	0
hsa-miR-3689e	0	0	0	0	0	0	0	0
hsa-miR-3689f	0	0	0	0	0	0	0	0
hsa-miR-369-3p	17	17	23	20	20	18	14	9
hsa-miR-369-5p	0	0	0	0	0	0	0	0
hsa-miR-3690	0	0	1	1	0	2	0	0
hsa-miR-3691-3p	0	0	0	0	0	1	0	1
hsa-miR-3691-5p	45	47	22	47	49	76	86	86
hsa-miR-3692-3p	3	4	1	8	4	3	4	4
hsa-miR-3692-5p	0	0	0	1	0	0	0	0
hsa-miR-370-3p	4	3	2	1	0	1	2	1
hsa-miR-370-5p	0	0	0	0	0	0	0	0
hsa-miR-3713	0	0	0	0	0	0	0	0
hsa-miR-3714	0	0	0	0	0	0	0	0
hsa-miR-371a-3p	0	0	0	0	0	0	0	0
hsa-miR-371a-5p	0	0	0	0	0	0	0	0
hsa-miR-371b-3p	0	2	0	0	0	0	0	0
hsa-miR-371b-5p	0	0	1	0	0	0	0	0
hsa-miR-372-3p	2	1	0	0	1	3	0	0
hsa-miR-372-5p	0	0	0	0	0	0	0	0
hsa-miR-373-3p	2	1	0	2	3	3	1	1
hsa-miR-373-5p	0	0	0	0	0	0	0	0
hsa-miR-374a-3p	16631	9868	6467	18375	23235	18726	21439	16034
hsa-miR-374a-5p	2437	1912	1360	1428	1386	1051	1398	1311
hsa-miR-374b-3p	281	188	211	238	267	172	233	245
hsa-miR-374b-5p	0	0	0	0	0	0	0	0
hsa-miR-374c-3p	0	0	0	0	0	0	0	0
hsa-miR-374c-5p	6	8	7	2	2	1	3	3
hsa-miR-375	51252	49236	31916	32740	45415	65759	53874	55825
hsa-miR-376a-2-5p	1	2	2	3	2	0	0	0
hsa-miR-376a-3p	1	0	0	0	0	0	0	0
hsa-miR-376a-5p	22	18	17	14	9	15	4	8
hsa-miR-376b-3p	0	0	2	1	1	1	0	0
hsa-miR-376b-5p	0	1	0	0	0	0	0	0
hsa-miR-376c-3p	3	0	2	4	1	3	1	0
hsa-miR-376c-5p	0	1	0	0	0	0	0	0
hsa-miR-377-3p	3	4	1	1	2	0	2	0
hsa-miR-377-5p	1	1	0	0	1	1	0	0
hsa-miR-378a-3p	39159	37046	24219	43908	45700	74494	43506	46848
hsa-miR-378a-5p	89	88	45	79	57	107	51	67
hsa-miR-378b	6	4	3	5	6	8	6	8
hsa-miR-378c	819	754	442	734	1027	1711	1054	1123
hsa-miR-378d	38	34	31	32	65	100	46	57
hsa-miR-378e	0	0	0	0	0	1	1	2
hsa-miR-378f	5	3	4	8	6	16	7	16
hsa-miR-378g	9	5	6	11	12	12	4	11
hsa-miR-378h	1	0	0	1	0	0	0	0
hsa-miR-378i	63	60	39	45	79	126	109	123
hsa-miR-378j	0	0	0	0	0	0	0	1
hsa-miR-379-3p	0	0	0	0	0	0	0	1
hsa-miR-379-5p	43	35	21	29	45	71	30	23
hsa-miR-380-3p	0	0	1	0	2	0	0	0
hsa-miR-380-5p	2	0	1	1	0	0	0	0
hsa-miR-381-3p	14	17	16	14	20	19	9	11
hsa-miR-381-5p	0	1	0	0	0	0	0	0
hsa-miR-382-3p	1	0	0	0	1	0	0	0
hsa-miR-382-5p	14	9	4	15	9	11	5	7
hsa-miR-383-3p	0	0	0	0	0	0	0	0
hsa-miR-383-5p	0	0	0	0	0	0	0	0
hsa-miR-384	0	0	0	0	0	0	0	0
hsa-miR-3907	0	0	0	0	0	0	0	1
hsa-miR-3908	0	0	1	0	0	0	0	0
hsa-miR-3909	21	13	24	15	12	22	7	7
hsa-miR-3910	0	0	0	0	0	0	0	0
hsa-miR-3911	109	115	35	78	55	116	88	96
hsa-miR-3912-3p	136	154	173	84	101	110	112	95
hsa-miR-3912-5p	10	6	3	2	8	5	8	7
hsa-miR-3913-3p	0	0	0	0	0	0	0	0
hsa-miR-3913-5p	0	0	0	0	0	0	0	0
hsa-miR-3914	0	0	0	0	0	0	0	0
hsa-miR-3915	0	0	0	0	0	0	0	0
hsa-miR-3916	0	3	2	0	3	1	1	0
hsa-miR-3917	7	9	10	9	13	26	19	29
hsa-miR-3918	1	1	2	2	1	0	0	2
hsa-miR-3919	0	0	0	1	1	0	0	0
hsa-miR-3920	1	0	1	0	1	0	0	1
hsa-miR-3921	0	1	0	0	0	0	0	0
hsa-miR-3922-3p	0	2	1	3	0	0	1	1
hsa-miR-3922-5p	0	0	0	0	0	1	0	1
hsa-miR-3923	1	4	1	3	3	4	1	3
hsa-miR-3924	0	0	1	0	0	0	0	0
hsa-miR-3925-3p	4	8	2	4	4	9	8	11
hsa-miR-3925-5p	8	6	4	6	10	5	7	7
hsa-miR-3926	0	0	4	2	4	5	4	3
hsa-miR-3927-3p	1	1	1	2	1	1	0	1
hsa-miR-3927-5p	1	1	0	1	0	1	1	0
hsa-miR-3928-3p	307	290	156	380	403	706	460	466
hsa-miR-3928-5p	3	5	3	3	2	3	2	4
hsa-miR-3929	19	30	29	14	14	20	15	25
hsa-miR-3934-3p	10	4	7	3	8	11	1	4
hsa-miR-3934-5p	305	324	200	365	428	534	498	472
hsa-miR-3935	16	9	6	3	8	6	14	18
hsa-miR-3936	7	14	9	7	0	7	6	3
hsa-miR-3937	0	1	1	0	0	0	0	0
hsa-miR-3938	6	5	0	3	2	6	4	3
hsa-miR-3939	3	3	3	1	1	5	0	2
hsa-miR-3940-3p	6	2	4	5	0	2	5	6
hsa-miR-3940-5p	10	14	3	7	0	0	0	3
hsa-miR-3941	2	1	1	0	0	0	0	0
hsa-miR-3942-3p	0	0	0	0	0	1	0	2
hsa-miR-3942-5p	18	17	15	32	38	24	40	24
hsa-miR-3943	0	0	0	0	0	0	0	0
hsa-miR-3944-3p	39	32	31	31	34	50	33	39
hsa-miR-3944-5p	9	10	10	3	3	4	4	4
hsa-miR-3945	0	0	0	0	0	0	0	0
hsa-miR-3960	0	0	0	0	0	0	0	0
hsa-miR-3972	0	0	0	0	0	0	0	0
hsa-miR-3973	0	0	0	0	0	0	0	0
hsa-miR-3974	0	0	0	0	0	0	0	0
hsa-miR-3975	0	0	0	0	0	0	0	0
hsa-miR-3976	0	0	0	0	0	0	0	0
hsa-miR-3977	0	0	0	0	0	0	0	0
hsa-miR-3978	0	0	0	0	0	0	0	0
hsa-miR-409-3p	1	8	6	3	3	15	1	5
hsa-miR-409-5p	1	2	2	2	1	0	0	0
hsa-miR-410-3p	2	2	1	0	1	0	1	0
hsa-miR-410-5p	0	0	0	0	0	0	0	0
hsa-miR-411-3p	0	3	0	1	0	1	0	0
hsa-miR-411-5p	4	4	9	5	6	1	3	0
hsa-miR-412-3p	0	0	0	0	0	0	0	0
hsa-miR-412-5p	0	0	0	1	0	0	0	0
hsa-miR-421	813	543	749	450	447	385	469	505
hsa-miR-422a	2	2	2	2	8	5	2	1
hsa-miR-423-3p	23845	24944	19860	13725	13697	17209	15543	17509
hsa-miR-423-5p	0	0	0	0	0	0	0	0
hsa-miR-424-3p	1093	1181	814	295	294	270	180	203
hsa-miR-424-5p	8151	6290	14315	3876	3690	3336	2482	2012
hsa-miR-425-3p	1547	1872	1474	1276	1828	2715	2031	2182
hsa-miR-425-5p	40876	41066	42884	27432	28472	34326	37308	40870
hsa-miR-4251	0	0	0	0	0	0	0	0
hsa-miR-4252	0	0	0	0	0	0	0	0
hsa-miR-4253	0	0	0	0	0	0	0	0
hsa-miR-4254	0	0	0	0	0	0	1	0
hsa-miR-4255	0	0	0	0	0	0	0	0
hsa-miR-4256	0	0	0	0	0	0	0	0
hsa-miR-4257	0	0	0	0	0	0	0	0
hsa-miR-4258	0	0	0	0	0	0	0	0
hsa-miR-4259	0	0	0	0	0	0	0	0
hsa-miR-4260	0	0	0	0	0	0	0	0
hsa-miR-4261	0	0	0	0	0	0	0	0
hsa-miR-4262	0	0	0	0	0	0	0	0
hsa-miR-4263	0	0	0	0	0	0	0	0
hsa-miR-4264	0	0	0	0	0	0	0	0
hsa-miR-4265	0	0	0	0	0	0	0	0
hsa-miR-4266	0	0	0	0	0	0	0	0
hsa-miR-4267	0	0	0	0	0	0	0	0
hsa-miR-4268	0	0	0	0	0	0	0	0
hsa-miR-4269	0	0	0	0	0	0	0	0
hsa-miR-4270	0	0	0	0	0	0	0	0
hsa-miR-4271	0	0	0	0	0	0	0	0
hsa-miR-4272	0	0	0	0	0	0	0	0
hsa-miR-4273	0	0	0	0	0	0	0	0
hsa-miR-4274	0	0	0	0	0	0	0	0
hsa-miR-4275	0	0	0	0	0	0	0	0
hsa-miR-4276	0	0	0	0	0	0	0	0
hsa-miR-4277	0	0	0	0	0	0	0	0
hsa-miR-4278	0	0	0	0	0	0	0	0
hsa-miR-4279	0	0	0	0	0	0	0	0
hsa-miR-4280	0	0	0	0	0	0	0	0
hsa-miR-4281	0	0	0	0	0	0	0	0
hsa-miR-4282	0	0	0	0	0	0	0	0
hsa-miR-4283	0	0	0	0	0	0	0	0
hsa-miR-4284	0	0	0	0	0	1	1	0
hsa-miR-4285	0	0	0	0	0	0	0	0
hsa-miR-4286	0	1	0	1	0	0	0	2
hsa-miR-4287	0	0	0	0	0	0	0	0
hsa-miR-4288	0	0	0	0	0	0	0	0
hsa-miR-4289	0	0	0	0	1	0	0	0
hsa-miR-429	21578	22786	27604	13657	13382	14060	13798	14337
hsa-miR-4290	0	0	0	0	0	0	0	0
hsa-miR-4291	0	0	0	0	0	0	0	0
hsa-miR-4292	0	0	0	0	0	0	0	0
hsa-miR-4293	0	0	0	0	0	0	0	0
hsa-miR-4294	0	0	0	0	0	0	0	0
hsa-miR-4295	0	0	0	0	0	0	0	0
